date,time,tide_height,tide_ht,date_time
2017-01-26,20:42,0.276,L,2017-01-26 20:42
2017-01-27,03:12,3.395,H,2017-01-27 03:12
2017-01-27,09:12,0.357,L,2017-01-27 09:12
2017-01-27,15:06,3.608,H,2017-01-27 15:06
2017-01-27,21:36,-0.004,L,2017-01-27 21:36
2017-01-28,03:42,3.276,H,2017-01-28 03:42
2017-01-28,09:48,0.246,L,2017-01-28 09:48
2017-01-28,15:48,3.562,H,2017-01-28 15:48
2017-01-28,22:12,-0.09,L,2017-01-28 22:12
2017-01-29,04:18,3.311,H,2017-01-29 04:18
2017-01-29,10:18,0.227,L,2017-01-29 10:18
2017-01-29,16:24,3.707,H,2017-01-29 16:24
2017-01-29,22:42,-0.103,L,2017-01-29 22:42
2017-01-30,04:54,3.481,H,2017-01-30 04:54
2017-01-30,11:00,0.155,L,2017-01-30 11:00
2017-01-30,17:12,3.791,H,2017-01-30 17:12
2017-01-30,23:24,-0.04,L,2017-01-30 23:24
2017-01-31,05:30,3.516,H,2017-01-31 05:30
2017-01-31,11:42,0.028,L,2017-01-31 11:42
2017-01-31,17:48,3.732,H,2017-01-31 17:48
2017-02-01,00:12,-0.101,L,2017-02-01 00:12
2017-02-01,06:30,3.585,H,2017-02-01 06:30
2017-02-01,12:30,0.123,L,2017-02-01 12:30
2017-02-01,18:36,3.712,H,2017-02-01 18:36
2017-02-02,01:00,-0.106,L,2017-02-02 01:00
2017-02-02,07:06,3.544,H,2017-02-02 07:06
2017-02-02,13:18,0.086,L,2017-02-02 13:18
2017-02-02,19:30,3.467,H,2017-02-02 19:30
2017-02-03,01:42,-0.045,L,2017-02-03 01:42
2017-02-03,08:00,3.511,H,2017-02-03 08:00
2017-02-03,14:12,0.111,L,2017-02-03 14:12
2017-02-03,20:24,3.289,H,2017-02-03 20:24
2017-02-04,02:36,0.046,L,2017-02-04 02:36
2017-02-04,08:48,3.429,H,2017-02-04 08:48
2017-02-04,15:06,0.108,L,2017-02-04 15:06
2017-02-04,21:24,3.15,H,2017-02-04 21:24
2017-02-05,03:30,0.092,L,2017-02-05 03:30
2017-02-05,09:48,3.463,H,2017-02-05 09:48
2017-02-05,16:18,0.121,L,2017-02-05 16:18
2017-02-05,22:18,3.296,H,2017-02-05 22:18
2017-02-06,04:30,0.268,L,2017-02-06 04:30
2017-02-06,10:42,3.414,H,2017-02-06 10:42
2017-02-06,17:36,-0.063,L,2017-02-06 17:36
2017-02-06,23:30,3.146,H,2017-02-06 23:30
2017-02-07,05:42,0.054,L,2017-02-07 05:42
2017-02-07,12:06,3.418,H,2017-02-07 12:06
2017-02-07,18:30,-0.12,L,2017-02-07 18:30
2017-02-08,00:54,3.386,H,2017-02-08 00:54
2017-02-08,06:48,0.486,L,2017-02-08 06:48
2017-02-08,13:06,4.059,H,2017-02-08 13:06
2017-02-08,19:30,-0.002,L,2017-02-08 19:30
2017-02-09,01:36,3.501,H,2017-02-09 01:36
2017-02-09,07:48,-0.004,L,2017-02-09 07:48
2017-02-09,14:06,3.948,H,2017-02-09 14:06
2017-02-09,20:24,-0.041,L,2017-02-09 20:24
2017-02-10,02:24,3.577,H,2017-02-10 02:24
2017-02-10,08:42,-0.052,L,2017-02-10 08:42
2017-02-10,14:42,3.766,H,2017-02-10 14:42
2017-02-10,21:24,-0.636,L,2017-02-10 21:24
2017-02-11,03:30,3.339,H,2017-02-11 03:30
2017-02-11,09:24,-0.006,L,2017-02-11 09:24
2017-02-11,15:48,3.896,H,2017-02-11 15:48
2017-02-11,22:00,-0.334,L,2017-02-11 22:00
2017-02-12,04:18,3.633,H,2017-02-12 04:18
2017-02-12,10:12,0.068,L,2017-02-12 10:12
2017-02-12,16:30,3.88,H,2017-02-12 16:30
2017-02-12,22:36,-0.186,L,2017-02-12 22:36
2017-02-13,05:00,3.929,H,2017-02-13 05:00
2017-02-13,11:00,0.369,L,2017-02-13 11:00
2017-02-13,17:12,3.868,H,2017-02-13 17:12
2017-02-13,23:24,0.118,L,2017-02-13 23:24
2017-02-14,05:54,3.863,H,2017-02-14 05:54
2017-02-14,11:54,0.437,L,2017-02-14 11:54
2017-02-14,18:00,3.825,H,2017-02-14 18:00
2017-02-15,00:18,0.284,L,2017-02-15 00:18
2017-02-15,06:30,3.677,H,2017-02-15 06:30
2017-02-15,12:36,0.236,L,2017-02-15 12:36
2017-02-15,18:48,3.692,H,2017-02-15 18:48
2017-02-16,00:54,0.397,L,2017-02-16 00:54
2017-02-16,07:06,3.902,H,2017-02-16 07:06
2017-02-16,13:24,0.411,L,2017-02-16 13:24
2017-02-16,19:30,3.51,H,2017-02-16 19:30
2017-02-17,01:54,0.23,L,2017-02-17 01:54
2017-02-17,08:00,3.23,H,2017-02-17 08:00
2017-02-17,14:06,0.267,L,2017-02-17 14:06
2017-02-17,20:24,3.113,H,2017-02-17 20:24
2017-02-18,02:36,0.416,L,2017-02-18 02:36
2017-02-18,08:48,3.246,H,2017-02-18 08:48
2017-02-18,15:00,0.532,L,2017-02-18 15:00
2017-02-18,21:06,3.087,H,2017-02-18 21:06
2017-02-19,03:24,0.667,L,2017-02-19 03:24
2017-02-19,09:36,3.239,H,2017-02-19 09:36
2017-02-19,15:54,0.597,L,2017-02-19 15:54
2017-02-19,22:18,3.043,H,2017-02-19 22:18
2017-02-20,04:18,0.664,L,2017-02-20 04:18
2017-02-20,10:30,3.203,H,2017-02-20 10:30
2017-02-20,16:54,0.466,L,2017-02-20 16:54
2017-02-20,23:12,2.855,H,2017-02-20 23:12
2017-02-21,05:06,0.651,L,2017-02-21 05:06
2017-02-21,11:42,3.141,H,2017-02-21 11:42
2017-02-21,17:48,0.458,L,2017-02-21 17:48
2017-02-22,00:06,2.887,H,2017-02-22 00:06
2017-02-22,06:18,0.589,L,2017-02-22 06:18
2017-02-22,12:24,3.29,H,2017-02-22 12:24
2017-02-22,18:48,0.395,L,2017-02-22 18:48
2017-02-23,01:00,3.074,H,2017-02-23 01:00
2017-02-23,07:00,0.543,L,2017-02-23 07:00
2017-02-23,13:18,3.446,H,2017-02-23 13:18
2017-02-23,19:36,0.299,L,2017-02-23 19:36
2017-02-24,01:42,3.266,H,2017-02-24 01:42
2017-02-24,07:54,0.434,L,2017-02-24 07:54
2017-02-24,14:06,3.529,H,2017-02-24 14:06
2017-02-24,20:24,0.062,L,2017-02-24 20:24
2017-02-25,02:36,3.326,H,2017-02-25 02:36
2017-02-25,08:36,0.237,L,2017-02-25 08:36
2017-02-25,14:48,3.683,H,2017-02-25 14:48
2017-02-25,21:00,0.092,L,2017-02-25 21:00
2017-02-26,03:18,3.699,H,2017-02-26 03:18
2017-02-26,09:30,0.293,L,2017-02-26 09:30
2017-02-26,15:18,3.756,H,2017-02-26 15:18
2017-02-26,21:48,-0.228,L,2017-02-26 21:48
2017-02-27,03:42,3.346,H,2017-02-27 03:42
2017-02-27,10:00,-0.148,L,2017-02-27 10:00
2017-02-27,16:00,3.738,H,2017-02-27 16:00
2017-02-27,22:24,-0.358,L,2017-02-27 22:24
2017-02-28,04:24,3.415,H,2017-02-28 04:24
2017-02-28,10:36,-0.374,L,2017-02-28 10:36
2017-02-28,16:48,3.744,H,2017-02-28 16:48
2017-02-28,22:54,-0.274,L,2017-02-28 22:54
2017-03-01,05:12,3.679,H,2017-03-01 05:12
2017-03-01,11:18,-0.304,L,2017-03-01 11:18
2017-03-01,17:36,3.898,H,2017-03-01 17:36
2017-03-01,23:30,0.024,L,2017-03-01 23:30
2017-03-02,05:42,3.915,H,2017-03-02 05:42
2017-03-02,12:06,-0.093,L,2017-03-02 12:06
2017-03-02,18:18,3.75,H,2017-03-02 18:18
2017-03-03,00:36,-0.431,L,2017-03-03 00:36
2017-03-03,06:42,3.601,H,2017-03-03 06:42
2017-03-03,13:00,-0.273,L,2017-03-03 13:00
2017-03-03,19:12,3.422,H,2017-03-03 19:12
2017-03-04,01:12,-0.126,L,2017-03-04 01:12
2017-03-04,07:24,3.463,H,2017-03-04 07:24
2017-03-04,13:54,-0.387,L,2017-03-04 13:54
2017-03-04,20:00,3.217,H,2017-03-04 20:00
2017-03-05,02:06,-0.175,L,2017-03-05 02:06
2017-03-05,08:30,3.433,H,2017-03-05 08:30
2017-03-05,14:48,-0.257,L,2017-03-05 14:48
2017-03-05,21:12,3.073,H,2017-03-05 21:12
2017-03-06,03:18,0.05,L,2017-03-06 03:18
2017-03-06,09:42,3.494,H,2017-03-06 09:42
2017-03-06,15:54,0.076,L,2017-03-06 15:54
2017-03-06,22:18,3.195,H,2017-03-06 22:18
2017-03-07,04:18,0.214,L,2017-03-07 04:18
2017-03-07,10:42,3.514,H,2017-03-07 10:42
2017-03-07,17:12,-0.003,L,2017-03-07 17:12
2017-03-07,23:24,3.247,H,2017-03-07 23:24
2017-03-08,05:30,0.274,L,2017-03-08 05:30
2017-03-08,11:54,3.649,H,2017-03-08 11:54
2017-03-08,18:12,0.078,L,2017-03-08 18:12
2017-03-09,00:30,3.35,H,2017-03-09 00:30
2017-03-09,06:42,0.2,L,2017-03-09 06:42
2017-03-09,12:54,3.703,H,2017-03-09 12:54
2017-03-09,19:18,-0.102,L,2017-03-09 19:18
2017-03-10,01:30,3.311,H,2017-03-10 01:30
2017-03-10,07:42,-0.094,L,2017-03-10 07:42
2017-03-10,13:54,3.56,H,2017-03-10 13:54
2017-03-10,20:06,-0.088,L,2017-03-10 20:06
2017-03-11,02:24,3.655,H,2017-03-11 02:24
2017-03-11,08:36,0.015,L,2017-03-11 08:36
2017-03-11,14:42,3.675,H,2017-03-11 14:42
2017-03-11,21:06,-0.313,L,2017-03-11 21:06
2017-03-12,03:12,3.321,H,2017-03-12 03:12
2017-03-12,09:30,-0.331,L,2017-03-12 09:30
2017-03-12,15:30,3.352,H,2017-03-12 15:30
2017-03-12,21:48,-0.293,L,2017-03-12 21:48
2017-03-13,03:54,3.379,H,2017-03-13 03:54
2017-03-13,10:00,-0.132,L,2017-03-13 10:00
2017-03-13,16:12,3.552,H,2017-03-13 16:12
2017-03-13,22:24,-0.272,L,2017-03-13 22:24
2017-03-14,04:24,3.476,H,2017-03-14 04:24
2017-03-14,11:00,-0.125,L,2017-03-14 11:00
2017-03-14,17:06,3.63,H,2017-03-14 17:06
2017-03-14,22:54,0.61,L,2017-03-14 22:54
2017-03-15,04:54,3.904,H,2017-03-15 04:54
2017-03-15,11:30,0.252,L,2017-03-15 11:30
2017-03-15,17:30,3.71,H,2017-03-15 17:30
2017-03-15,23:42,0.258,L,2017-03-15 23:42
2017-03-16,06:00,3.601,H,2017-03-16 06:00
2017-03-16,12:06,0.146,L,2017-03-16 12:06
2017-03-16,18:12,3.278,H,2017-03-16 18:12
2017-03-17,00:24,0.061,L,2017-03-17 00:24
2017-03-17,06:30,3.364,H,2017-03-17 06:30
2017-03-17,12:54,0.139,L,2017-03-17 12:54
2017-03-17,19:00,3.182,H,2017-03-17 19:00
2017-03-18,01:06,0.173,L,2017-03-18 01:06
2017-03-18,07:18,3.237,H,2017-03-18 07:18
2017-03-18,13:30,0.134,L,2017-03-18 13:30
2017-03-18,19:42,3.017,H,2017-03-18 19:42
2017-03-19,01:48,0.312,L,2017-03-19 01:48
2017-03-19,08:06,3.183,H,2017-03-19 08:06
2017-03-19,14:24,0.331,L,2017-03-19 14:24
2017-03-19,20:36,2.987,H,2017-03-19 20:36
2017-03-20,02:48,0.753,L,2017-03-20 02:48
2017-03-20,08:54,3.155,H,2017-03-20 08:54
2017-03-20,15:12,0.609,L,2017-03-20 15:12
2017-03-20,21:36,2.911,H,2017-03-20 21:36
2017-03-21,03:36,0.778,L,2017-03-21 03:36
2017-03-21,09:48,3.141,H,2017-03-21 09:48
2017-03-21,16:00,0.598,L,2017-03-21 16:00
2017-03-21,22:24,2.955,H,2017-03-21 22:24
2017-03-22,04:30,0.762,L,2017-03-22 04:30
2017-03-22,10:48,3.211,H,2017-03-22 10:48
2017-03-22,17:12,0.419,L,2017-03-22 17:12
2017-03-22,23:30,2.705,H,2017-03-22 23:30
2017-03-23,05:30,0.349,L,2017-03-23 05:30
2017-03-23,11:42,2.842,H,2017-03-23 11:42
2017-03-23,18:12,0.166,L,2017-03-23 18:12
2017-03-24,00:18,2.668,H,2017-03-24 00:18
2017-03-24,06:24,0.325,L,2017-03-24 06:24
2017-03-24,12:36,3.12,H,2017-03-24 12:36
2017-03-24,18:54,0.105,L,2017-03-24 18:54
2017-03-25,01:00,3.149,H,2017-03-25 01:00
2017-03-25,07:24,0.271,L,2017-03-25 07:24
2017-03-25,13:30,3.298,H,2017-03-25 13:30
2017-03-25,19:36,-0.127,L,2017-03-25 19:36
2017-03-26,02:00,3.21,H,2017-03-26 02:00
2017-03-26,08:00,-0.083,L,2017-03-26 08:00
2017-03-26,14:12,3.474,H,2017-03-26 14:12
2017-03-26,20:30,-0.211,L,2017-03-26 20:30
2017-03-27,02:36,3.419,H,2017-03-27 02:36
2017-03-27,08:54,-0.237,L,2017-03-27 08:54
2017-03-27,15:00,3.662,H,2017-03-27 15:00
2017-03-27,21:12,-0.197,L,2017-03-27 21:12
2017-03-28,03:18,3.808,H,2017-03-28 03:18
2017-03-28,09:30,-0.245,L,2017-03-28 09:30
2017-03-28,15:42,3.931,H,2017-03-28 15:42
2017-03-28,21:48,-0.19,L,2017-03-28 21:48
2017-03-29,04:00,4,H,2017-03-29 04:00
2017-03-29,10:18,-0.366,L,2017-03-29 10:18
2017-03-29,16:24,3.892,H,2017-03-29 16:24
2017-03-29,22:36,-0.295,L,2017-03-29 22:36
2017-03-30,04:42,3.949,H,2017-03-30 04:42
2017-03-30,11:06,-0.47,L,2017-03-30 11:06
2017-03-30,17:12,3.798,H,2017-03-30 17:12
2017-03-30,23:30,-0.308,L,2017-03-30 23:30
2017-03-31,05:30,3.936,H,2017-03-31 05:30
2017-03-31,12:00,-0.398,L,2017-03-31 12:00
2017-03-31,18:12,3.806,H,2017-03-31 18:12
2017-04-01,00:18,-0.086,L,2017-04-01 00:18
2017-04-01,06:30,4.011,H,2017-04-01 06:30
2017-04-01,12:54,-0.161,L,2017-04-01 12:54
2017-04-01,19:00,3.772,H,2017-04-01 19:00
2017-04-02,01:12,0.096,L,2017-04-02 01:12
2017-04-02,07:30,4.028,H,2017-04-02 07:30
2017-04-02,13:42,-0.013,L,2017-04-02 13:42
2017-04-02,20:00,3.626,H,2017-04-02 20:00
2017-04-03,02:00,0.194,L,2017-04-03 02:00
2017-04-03,08:12,3.787,H,2017-04-03 08:12
2017-04-03,14:48,-0.033,L,2017-04-03 14:48
2017-04-03,21:00,3.494,H,2017-04-03 21:00
2017-04-04,03:06,0.244,L,2017-04-04 03:06
2017-04-04,09:30,3.733,H,2017-04-04 09:30
2017-04-04,15:54,0.139,L,2017-04-04 15:54
2017-04-04,21:54,3.563,H,2017-04-04 21:54
2017-04-05,04:18,0.513,L,2017-04-05 04:18
2017-04-05,10:36,3.816,H,2017-04-05 10:36
2017-04-05,17:00,0.236,L,2017-04-05 17:00
2017-04-05,23:18,3.476,H,2017-04-05 23:18
2017-04-06,05:30,0.453,L,2017-04-06 05:30
2017-04-06,11:42,3.616,H,2017-04-06 11:42
2017-04-06,18:00,0.223,L,2017-04-06 18:00
2017-04-07,00:30,3.591,H,2017-04-07 00:30
2017-04-07,06:12,0.595,L,2017-04-07 06:12
2017-04-07,12:54,3.78,H,2017-04-07 12:54
2017-04-07,19:00,0.284,L,2017-04-07 19:00
2017-04-08,01:24,3.744,H,2017-04-08 01:24
2017-04-08,07:24,0.368,L,2017-04-08 07:24
2017-04-08,13:42,3.766,H,2017-04-08 13:42
2017-04-08,19:54,0.186,L,2017-04-08 19:54
2017-04-09,02:00,3.592,H,2017-04-09 02:00
2017-04-09,08:18,0.092,L,2017-04-09 08:18
2017-04-09,14:24,3.589,H,2017-04-09 14:24
2017-04-09,20:42,0.104,L,2017-04-09 20:42
2017-04-10,02:54,3.641,H,2017-04-10 02:54
2017-04-10,09:06,-0.002,L,2017-04-10 09:06
2017-04-10,15:18,3.579,H,2017-04-10 15:18
2017-04-10,21:30,0.056,L,2017-04-10 21:30
2017-04-11,03:36,3.622,H,2017-04-11 03:36
2017-04-11,09:48,-0.061,L,2017-04-11 09:48
2017-04-11,16:00,3.501,H,2017-04-11 16:00
2017-04-11,22:18,0.079,L,2017-04-11 22:18
2017-04-12,04:24,3.607,H,2017-04-12 04:24
2017-04-12,10:36,-0.028,L,2017-04-12 10:36
2017-04-12,16:42,3.466,H,2017-04-12 16:42
2017-04-12,22:48,0.154,L,2017-04-12 22:48
2017-04-13,04:48,3.581,H,2017-04-13 04:48
2017-04-13,11:06,-0.063,L,2017-04-13 11:06
2017-04-13,17:18,3.309,H,2017-04-13 17:18
2017-04-13,23:24,0.159,L,2017-04-13 23:24
2017-04-14,05:36,3.461,H,2017-04-14 05:36
2017-04-14,11:54,0.033,L,2017-04-14 11:54
2017-04-14,18:00,3.228,H,2017-04-14 18:00
2017-04-15,00:06,0.311,L,2017-04-15 00:06
2017-04-15,06:12,3.372,H,2017-04-15 06:12
2017-04-15,12:30,0.131,L,2017-04-15 12:30
2017-04-15,18:36,3.139,H,2017-04-15 18:36
2017-04-16,00:42,0.473,L,2017-04-16 00:42
2017-04-16,06:48,3.379,H,2017-04-16 06:48
2017-04-16,13:06,0.31,L,2017-04-16 13:06
2017-04-16,19:12,3.131,H,2017-04-16 19:12
2017-04-17,01:18,0.699,L,2017-04-17 01:18
2017-04-17,07:24,3.361,H,2017-04-17 07:24
2017-04-17,13:42,0.415,L,2017-04-17 13:42
2017-04-17,19:54,3.108,H,2017-04-17 19:54
2017-04-18,02:06,0.662,L,2017-04-18 02:06
2017-04-18,08:12,3.215,H,2017-04-18 08:12
2017-04-18,14:36,0.417,L,2017-04-18 14:36
2017-04-18,20:54,2.9,H,2017-04-18 20:54
2017-04-19,02:54,0.632,L,2017-04-19 02:54
2017-04-19,09:00,3.088,H,2017-04-19 09:00
2017-04-19,15:42,0.363,L,2017-04-19 15:42
2017-04-19,21:48,2.832,H,2017-04-19 21:48
2017-04-20,03:48,0.672,L,2017-04-20 03:48
2017-04-20,10:00,3.108,H,2017-04-20 10:00
2017-04-20,16:30,0.448,L,2017-04-20 16:30
2017-04-20,22:36,2.984,H,2017-04-20 22:36
2017-04-21,04:54,0.643,L,2017-04-21 04:54
2017-04-21,10:54,3.176,H,2017-04-21 10:54
2017-04-21,17:24,0.414,L,2017-04-21 17:24
2017-04-21,23:48,3.122,H,2017-04-21 23:48
2017-04-22,05:54,0.54,L,2017-04-22 05:54
2017-04-22,12:06,3.357,H,2017-04-22 12:06
2017-04-22,18:18,0.388,L,2017-04-22 18:18
2017-04-23,00:24,3.38,H,2017-04-23 00:24
2017-04-23,06:42,0.348,L,2017-04-23 06:42
2017-04-23,12:54,3.462,H,2017-04-23 12:54
2017-04-23,19:06,0.165,L,2017-04-23 19:06
2017-04-24,01:24,3.519,H,2017-04-24 01:24
2017-04-24,07:36,0.089,L,2017-04-24 07:36
2017-04-24,13:36,3.56,H,2017-04-24 13:36
2017-04-24,19:54,-0.069,L,2017-04-24 19:54
2017-04-25,02:06,3.634,H,2017-04-25 02:06
2017-04-25,08:24,-0.242,L,2017-04-25 08:24
2017-04-25,14:36,3.622,H,2017-04-25 14:36
2017-04-25,20:42,-0.203,L,2017-04-25 20:42
2017-04-26,03:00,3.858,H,2017-04-26 03:00
2017-04-26,09:12,-0.327,L,2017-04-26 09:12
2017-04-26,15:18,3.821,H,2017-04-26 15:18
2017-04-26,21:24,-0.214,L,2017-04-26 21:24
2017-04-27,03:36,4.083,H,2017-04-27 03:36
2017-04-27,09:54,-0.484,L,2017-04-27 09:54
2017-04-27,16:06,3.84,H,2017-04-27 16:06
2017-04-27,22:06,-0.263,L,2017-04-27 22:06
2017-04-28,04:18,4.149,H,2017-04-28 04:18
2017-04-28,10:48,-0.532,L,2017-04-28 10:48
2017-04-28,16:54,3.823,H,2017-04-28 16:54
2017-04-28,23:06,-0.249,L,2017-04-28 23:06
2017-04-29,05:00,4.063,H,2017-04-29 05:00
2017-04-29,11:36,-0.584,L,2017-04-29 11:36
2017-04-29,17:48,3.773,H,2017-04-29 17:48
2017-04-30,00:06,-0.143,L,2017-04-30 00:06
2017-04-30,05:54,3.92,H,2017-04-30 05:54
2017-04-30,12:24,-0.56,L,2017-04-30 12:24
2017-04-30,18:48,3.593,H,2017-04-30 18:48
2017-05-01,00:48,-0.005,L,2017-05-01 00:48
2017-05-01,07:06,3.873,H,2017-05-01 07:06
2017-05-01,13:30,-0.33,L,2017-05-01 13:30
2017-05-01,19:54,3.528,H,2017-05-01 19:54
2017-05-02,01:54,0.262,L,2017-05-02 01:54
2017-05-02,08:12,3.886,H,2017-05-02 08:12
2017-05-02,14:42,0.048,L,2017-05-02 14:42
2017-05-02,20:48,3.599,H,2017-05-02 20:48
2017-05-03,02:48,0.341,L,2017-05-03 02:48
2017-05-03,09:12,3.675,H,2017-05-03 09:12
2017-05-03,15:30,0.116,L,2017-05-03 15:30
2017-05-03,21:48,3.424,H,2017-05-03 21:48
2017-05-04,04:00,0.325,L,2017-05-04 04:00
2017-05-04,10:12,3.411,H,2017-05-04 10:12
2017-05-04,16:36,-0.022,L,2017-05-04 16:36
2017-05-04,23:00,3.289,H,2017-05-04 23:00
2017-05-05,05:06,0.289,L,2017-05-05 05:06
2017-05-05,11:24,3.354,H,2017-05-05 11:24
2017-05-05,17:30,0.103,L,2017-05-05 17:30
2017-05-06,00:12,3.379,H,2017-05-06 00:12
2017-05-06,06:06,0.457,L,2017-05-06 06:06
2017-05-06,12:12,3.582,H,2017-05-06 12:12
2017-05-06,18:48,0.328,L,2017-05-06 18:48
2017-05-07,01:00,3.635,H,2017-05-07 01:00
2017-05-07,07:12,0.36,L,2017-05-07 07:12
2017-05-07,13:18,3.523,H,2017-05-07 13:18
2017-05-07,19:30,0.288,L,2017-05-07 19:30
2017-05-08,01:54,3.645,H,2017-05-08 01:54
2017-05-08,08:00,0.239,L,2017-05-08 08:00
2017-05-08,14:12,3.523,H,2017-05-08 14:12
2017-05-08,20:12,0.292,L,2017-05-08 20:12
2017-05-09,02:24,3.627,H,2017-05-09 02:24
